,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,prediction
4625,510,0,45,10,103821.47,2,0,1,77878.62,0.060020786
4949,567,1,36,1,0.0,2,0,0,8555.73,0.030088011
8328,638,1,34,5,146679.77,1,1,0,102179.86,0.09632183
3337,579,1,56,4,99340.83,1,0,0,4523.74,0.859999
5589,715,0,37,9,105489.31,1,0,0,143096.49,0.18055885
251,587,0,34,1,0.0,2,1,1,97932.68,0.059473973
3973,711,1,38,3,128718.78,1,0,0,114793.45,0.06851413
6630,741,0,36,3,0.0,2,1,1,89804.83,0.046984408
5547,688,1,38,7,148045.68,1,1,0,175479.92,0.15601857
35,475,0,45,0,134264.04,1,1,0,27822.99,0.4776598
8362,567,1,36,7,0.0,2,0,1,3896.08,0.030088011
1513,440,1,42,2,0.0,2,1,0,49826.68,0.17064843
9317,741,1,42,6,106036.52,1,1,0,194686.78,0.48414868
39,582,1,41,6,70349.48,2,0,1,178074.04,0.065363094
4819,613,1,26,4,100446.57,1,0,1,149653.81,0.056625944
3465,692,0,43,2,69014.49,2,0,0,164621.43,0.13487163
1760,521,1,38,5,110641.18,1,0,1,136507.69,0.13978435
2304,759,0,35,7,147936.42,1,1,1,106785.7,0.13818628
3723,715,1,42,2,88120.97,2,1,1,21333.22,0.18487535
8284,711,0,39,3,152462.79,1,1,0,90305.97,0.15725487
4993,554,0,44,6,92436.86,1,1,0,126033.9,0.45324478
8127,651,1,35,8,110067.71,1,1,0,127678.95,0.078224815
3032,495,0,45,3,89158.94,3,1,0,135169.76,0.9605898
7938,805,1,39,2,0.0,1,0,0,166650.32,0.3653841
3039,829,0,26,8,101440.36,2,1,1,19324.5,0.060335737
9655,583,0,40,4,55776.39,2,1,0,26920.43,0.27262956
2545,686,0,43,0,0.0,1,1,1,170072.9,0.38601375
2592,505,1,40,6,47869.69,2,1,1,155061.97,0.37787747
1188,528,1,30,2,128262.72,2,1,0,50771.16,0.05819792
7966,677,0,34,4,0.0,2,1,1,6175.53,0.03792867
6077,660,0,37,2,133200.09,1,0,0,71433.88,0.31289095
107,785,0,36,2,99806.85,1,0,1,36976.52,0.25922495
1315,607,0,27,5,100912.19,1,0,0,7631.27,0.17444001
8187,603,0,39,5,162390.52,2,1,0,54702.66,0.05606966
2753,480,0,28,6,0.0,2,0,0,48131.92,0.030375384
9753,656,1,68,7,153545.11,1,1,1,186574.68,0.08588684
6231,631,1,48,1,106396.48,1,1,1,150661.42,0.40904954
2876,604,0,35,7,147285.52,1,1,1,57807.05,0.07594064
5323,622,1,32,5,179305.09,1,1,1,149043.78,0.034509216
799,601,0,42,9,133636.16,1,0,1,103315.74,0.2095671
3570,674,1,46,2,174701.05,1,1,0,90189.72,0.5621489
2894,531,1,31,3,0.0,1,1,1,42589.33,0.11566114
2927,632,1,32,6,111589.33,1,1,1,170382.99,0.056579787
8178,707,0,46,7,127476.73,2,1,1,146011.55,0.23753372
971,723,1,25,3,0.0,2,1,1,134509.47,0.029754795
6687,795,1,38,7,125903.22,2,1,1,127068.92,0.056373034
8575,585,1,45,0,0.0,2,0,0,189683.7,0.1207592
2020,627,0,30,6,57809.32,1,1,0,188258.49,0.16548711
9054,546,0,30,5,0.0,2,0,1,198543.09,0.02912727
952,571,0,66,9,111577.01,1,0,1,189271.9,0.19439648
5359,684,1,42,1,117691.0,1,1,1,23135.65,0.124188654
3857,636,0,45,7,139859.23,1,1,1,108402.54,0.26106837
5861,562,1,48,3,92347.96,1,1,1,163116.75,0.41458318
3145,482,0,48,2,69329.47,1,0,0,102640.52,0.74168384
3305,786,0,62,8,0.0,1,1,1,165702.64,0.4626351
3006,747,0,45,1,114959.12,1,1,0,189362.39,0.8664152
9001,688,1,32,6,124179.3,1,1,1,138759.15,0.08679327
7770,699,1,29,3,125689.29,1,1,1,151623.71,0.056267027
7438,528,0,32,4,85615.66,2,1,0,156192.43,0.06544106
7942,542,0,42,1,0.0,1,1,1,178256.58,0.38219678
9238,773,0,50,4,0.0,2,1,0,129372.94,0.05489695
1056,675,1,33,3,0.0,2,1,0,45348.08,0.030059807
3154,652,1,51,7,0.0,2,0,1,43496.36,0.048420686
3787,638,1,27,4,135096.05,1,1,1,186523.72,0.075521395
9189,607,1,32,9,144272.07,2,1,0,176580.63,0.141314
7825,594,0,23,4,104753.84,2,1,0,56756.52,0.047517274
7539,755,1,42,2,119919.12,1,1,0,156868.21,0.41686788
7231,555,1,40,10,139930.18,1,1,1,105720.09,0.10831735
764,710,1,43,2,140080.32,3,1,1,157908.19,0.96680474
5019,823,0,53,4,124954.94,1,0,1,131259.6,0.59752697
4903,694,1,42,3,156864.2,2,0,0,88890.75,0.13834971
8093,584,1,47,5,0.0,2,1,0,89286.29,0.037406277
6843,740,1,33,1,129574.98,1,1,1,123300.38,0.12845305
2165,511,1,33,7,0.0,2,0,1,158313.87,0.029754795
1862,481,1,44,9,175303.06,1,1,0,65500.53,0.5486513
7850,488,0,36,0,0.0,2,1,0,136675.22,0.033396274
9123,718,1,33,7,102874.28,1,0,0,117841.06,0.060231794
2340,523,1,41,0,119276.31,1,0,0,122284.38,0.46535817
5527,698,1,38,2,130015.24,1,1,1,41595.3,0.14825584
6743,555,0,51,9,138214.5,1,1,0,198715.27,0.79037935
4003,750,0,26,1,151510.17,2,1,1,19921.72,0.058088012
1123,779,1,33,1,158456.76,1,1,1,197000.92,0.074568875
8709,529,1,39,6,102025.08,2,1,0,12351.01,0.050453655
4049,618,1,33,4,0.0,2,1,1,77550.18,0.0338625
7640,790,0,34,2,164011.48,1,1,0,199420.41,0.14639933
765,710,0,27,2,135277.96,1,1,0,142200.15,0.1693113
2344,714,0,49,4,93059.34,1,1,0,7571.51,0.64048016
4071,850,0,54,4,120952.74,1,1,0,66963.15,0.8332372
7216,679,1,41,8,147726.98,3,1,0,172749.4,0.94238394
4216,794,1,56,9,96951.21,1,1,1,71776.76,0.39735118
7952,746,0,33,2,107868.14,2,1,1,146192.4,0.04183808
5970,470,1,35,1,96473.59,1,0,0,5962.3,0.070149705
3350,670,1,35,2,124268.64,2,0,1,84321.03,0.048027538
4695,669,1,37,1,125529.55,1,1,1,162260.93,0.09789528
3399,628,0,31,6,175443.75,1,1,0,113167.17,0.31621888
4081,721,1,33,5,0.0,2,0,1,117626.9,0.029754795
9149,597,0,43,7,119127.46,2,1,0,55809.92,0.11081088
1224,500,0,47,8,128486.11,1,1,0,179227.12,0.8237543
6292,494,0,33,1,137853.0,1,0,1,90273.85,0.09798968
3122,676,1,29,4,140720.93,1,1,0,36221.18,0.0912749
510,524,0,31,10,67238.98,2,1,1,161811.23,0.031903546
5794,669,1,57,5,0.0,2,1,1,56875.76,0.03348286
8181,598,1,28,8,129991.76,2,0,1,46041.08,0.034904685
9417,577,0,33,6,0.0,2,1,0,57975.8,0.0290327
96,773,1,41,9,102827.44,1,0,1,64595.25,0.10441954
6681,602,1,31,7,155271.83,1,1,1,179446.31,0.05786893
1512,656,1,39,10,0.0,2,1,1,98894.64,0.030130317
8791,725,0,25,9,0.0,2,1,1,168607.74,0.02912727
119,699,1,34,4,185173.81,2,1,0,120834.48,0.035529427
7791,584,0,31,6,152622.34,1,1,0,99298.8,0.110284306
6517,628,0,51,9,155903.82,2,1,1,71159.84,0.4024398
33,520,0,42,6,0.0,2,1,1,34410.55,0.040813755
7887,716,0,30,2,205770.78,2,0,0,65464.66,0.2117143
6830,765,1,43,9,157960.49,2,0,0,136602.8,0.09168973
5421,589,0,39,7,0.0,2,0,0,95985.64,0.059152085
1068,594,1,57,6,0.0,1,1,0,19376.56,0.9324353
1347,521,1,37,2,0.0,2,1,1,86372.24,0.03891144
4747,663,1,64,6,0.0,2,0,1,15876.52,0.036629993
6005,636,0,24,9,0.0,2,0,1,38830.72,0.050385404
6039,597,1,26,5,0.0,2,0,1,95159.13,0.04307629
3817,682,0,29,6,101012.77,1,0,0,32589.89,0.1035363
8446,691,0,33,6,0.0,2,1,0,164074.89,0.02912727
5269,680,1,34,6,146422.22,1,1,0,67142.97,0.16993904
6897,492,0,48,6,127253.98,1,1,1,92144.09,0.3948268
5309,684,0,36,5,174180.39,1,1,0,119830.08,0.16395207
31,533,1,36,7,85311.7,1,0,1,156731.91,0.11395898
5674,540,1,28,8,0.0,2,0,0,197588.32,0.037082423
4386,783,0,42,2,139707.28,1,1,0,2150.22,0.4006887
29,411,1,29,0,59697.17,2,1,1,53483.21,0.11387408
4202,526,1,30,9,0.0,2,0,0,100995.68,0.04307629
7507,576,1,44,9,119530.52,1,1,0,119056.68,0.28992274
735,497,1,47,6,0.0,1,1,1,90055.08,0.6043599
2067,744,1,31,9,120718.28,1,1,1,58961.49,0.04690591
106,582,1,32,1,88938.62,1,1,1,10054.53,0.09053419
9644,452,0,35,8,0.0,2,1,1,149614.81,0.044729143
8894,485,0,39,2,75339.64,1,1,1,70665.16,0.5289461
8020,850,0,46,2,157866.77,1,1,1,18986.12,0.3377578
2232,649,1,36,8,0.0,2,1,0,161668.15,0.030185916
993,661,0,28,7,95357.49,1,0,0,102297.15,0.11107762
9412,725,1,26,6,98684.15,1,0,0,133720.57,0.074652575
7058,624,0,71,4,170252.05,3,1,1,73679.59,0.53915066
6789,668,1,46,0,0.0,2,0,0,29388.02,0.0995205
360,706,1,28,3,0.0,2,0,1,181543.67,0.029754795
304,553,1,33,4,118082.89,1,0,0,94440.45,0.111336514
2627,571,1,25,6,82506.72,2,1,0,167705.07,0.06493799
8965,477,0,58,8,145984.92,1,1,1,24564.7,0.2249773
4513,696,0,41,8,0.0,2,0,0,28276.83,0.07194666
5910,481,0,39,6,0.0,1,1,1,24677.54,0.31322932
8313,639,1,38,3,0.0,1,1,0,42862.82,0.17096956
3100,810,1,35,3,96814.46,2,1,1,120511.03,0.04800741
5703,516,0,42,8,56228.25,1,1,0,46857.52,0.47770157
3898,662,1,59,2,104568.41,1,1,0,8059.44,0.9122049
5440,690,1,43,2,166522.78,1,0,0,119644.59,0.14216518
7930,500,1,38,7,0.0,2,0,0,192013.23,0.03489361
621,656,0,40,10,167878.5,1,0,1,151887.16,0.35209292
7235,697,1,35,5,133087.76,1,1,0,64771.61,0.18413672
2498,718,1,37,8,0.0,2,1,1,142.81,0.030975692
713,501,0,41,3,144260.5,1,1,0,172114.67,0.41892734
8403,844,0,28,4,0.0,2,0,1,123318.37,0.037139
2855,710,0,75,5,0.0,2,1,1,9376.89,0.06017374
4269,748,1,44,4,112610.77,1,0,1,2048.55,0.48572063
2908,494,1,69,9,93320.8,1,1,1,24489.44,0.28896636
8080,757,1,47,3,130747.1,1,1,0,143829.54,0.8755094
4516,497,0,32,8,111537.23,4,1,1,9497.99,0.95338416
1261,744,1,38,6,73023.17,2,1,0,78770.86,0.06165873
3160,591,1,28,5,0.0,2,1,1,48606.92,0.029658247
970,638,0,48,10,138333.03,1,1,1,47679.14,0.36055073
3912,581,1,46,2,79385.21,2,0,0,188492.82,0.11868586
5198,604,1,40,1,84315.02,1,0,0,36209.1,0.36837295
8846,571,0,53,2,0.0,2,1,0,28045.77,0.49983037
259,850,1,38,3,54901.01,1,1,1,140075.55,0.11345066
3790,596,0,54,0,78126.28,1,1,1,153482.91,0.36680874
9202,528,1,31,9,120962.59,1,1,0,5419.31,0.23089862
487,542,1,39,3,135096.77,1,1,1,14353.43,0.30516592
7907,683,0,39,2,47685.47,2,1,1,86019.48,0.12250112
518,698,1,48,4,101238.24,2,0,1,177815.87,0.103092484
8342,655,0,34,3,0.0,2,1,0,159638.77,0.029931832
311,729,1,30,6,63669.42,1,1,0,145111.37,0.0843367
3231,646,1,36,6,124445.52,1,1,0,88481.32,0.14808469
7932,850,1,40,8,102800.65,1,1,0,60811.56,0.34079805
7457,665,0,43,2,116322.27,4,1,0,35640.12,0.9684684
9783,601,0,49,4,96252.98,2,1,0,104263.82,0.5694921
5183,694,1,38,1,0.0,2,0,1,156858.2,0.029642263
8076,732,0,36,9,0.0,1,0,0,3749.0,0.23976599
6501,679,1,30,9,0.0,2,1,0,157871.55,0.029754795
6790,487,0,40,6,136093.74,1,0,1,193408.43,0.2818994
7772,792,0,50,4,146710.76,1,1,0,16528.4,0.83620137
2737,472,1,31,4,58662.92,2,0,1,73322.0,0.07699561
7841,706,0,46,7,111288.18,1,1,1,149170.25,0.45987326
6261,708,0,35,8,122570.69,1,0,0,199005.88,0.19397323
8205,477,0,39,4,182491.57,1,1,0,185830.72,0.14693844
1247,512,1,24,6,0.0,2,1,0,37654.31,0.029658247
9335,737,1,50,4,127552.85,2,1,0,4225.11,0.29321906
4194,572,0,54,9,97382.53,1,1,1,195771.95,0.31525525
8000,747,1,36,8,102603.3,2,1,1,180693.61,0.045923486
7377,691,0,40,0,115465.98,1,1,1,60622.61,0.33438373
3434,692,1,66,4,159732.02,1,1,1,118188.15,0.08588684
5381,850,1,32,9,141827.33,2,1,1,149458.73,0.038171027
958,531,1,27,8,132576.25,1,0,0,7222.92,0.20863593
416,487,0,61,5,110368.03,1,0,0,11384.45,0.80987054
5741,709,1,42,9,118546.71,1,0,1,77142.85,0.1175023
6727,745,0,36,9,0.0,1,1,0,19605.18,0.23976599
4381,492,1,39,7,0.0,2,0,1,71323.23,0.032382373
5196,719,0,22,7,114415.84,1,1,1,177497.4,0.08233008
1112,690,0,42,3,92578.14,2,0,0,70810.6,0.07950039
2688,558,1,32,4,108235.91,1,1,1,143783.28,0.06535257
6472,651,0,34,10,148962.46,1,1,0,66389.43,0.15635811
8819,592,1,36,10,123187.51,1,0,1,146111.35,0.059804548
7807,608,1,34,3,106288.54,1,1,1,36639.25,0.08023623
3410,430,1,36,1,138992.48,2,0,0,122373.42,0.11808771
80,665,0,34,1,96645.54,2,0,0,171413.66,0.05963562
4613,745,0,46,7,0.0,2,1,1,67769.94,0.03902719
1373,528,0,46,9,135555.66,1,1,0,133146.03,0.43023974
1509,528,1,37,6,103772.45,1,1,0,197111.99,0.14010039
6442,491,1,33,5,83134.3,1,1,0,187946.55,0.09162039
3070,674,1,32,2,0.0,2,1,0,140579.17,0.029754795
3015,674,1,43,8,85957.88,2,1,0,8757.39,0.08900656
4822,745,0,32,2,0.0,4,0,1,179705.13,0.78387225
7821,777,0,28,2,134571.5,1,0,1,118313.38,0.1256958
92,524,0,36,10,0.0,2,1,0,109614.57,0.030349515
9420,657,0,28,7,0.0,2,0,1,5177.62,0.055903446
6599,850,1,49,6,128663.9,1,1,0,65769.3,0.41379339
4442,676,1,38,1,0.0,2,0,1,35644.79,0.047839686
7601,828,1,31,9,0.0,1,0,1,164257.37,0.11669656
3834,734,0,39,6,92126.26,2,0,0,112973.34,0.1054663
9701,678,1,38,3,124483.53,1,1,0,126253.31,0.115431204
4321,651,1,34,4,91562.99,1,1,1,123954.15,0.03976557
3393,710,1,30,6,0.0,2,1,1,8991.17,0.030059807
4751,661,0,64,8,128751.65,2,1,0,189398.18,0.8779759
7228,539,0,47,2,127286.04,2,1,1,166929.43,0.18776193
9190,646,0,46,8,0.0,2,1,0,133059.15,0.07745371
2360,518,0,41,5,110624.99,1,1,0,89327.67,0.32568952
1147,593,0,29,5,101713.84,3,1,0,134594.99,0.95604235
5665,559,1,33,9,111060.05,2,1,0,110371.84,0.11186842
8074,817,0,27,7,129810.6,1,1,1,59259.44,0.19108306
4942,592,1,36,1,126477.42,1,0,0,179718.17,0.22649875
3662,632,0,28,5,118890.81,1,0,1,145157.97,0.13659924
1562,694,1,31,6,109052.59,2,1,1,19448.93,0.07463725
4112,700,0,30,9,0.0,1,1,1,174971.64,0.092736736
9049,629,0,33,6,0.0,2,1,1,59129.72,0.033151306
9275,427,1,42,1,75681.52,1,1,1,57098.0,0.3466604
8537,801,0,46,6,0.0,2,1,1,170008.74,0.03946417
794,654,1,29,1,0.0,1,1,0,180345.44,0.08737141
5853,596,1,40,5,62389.03,3,1,0,148623.43,0.83768475
7618,578,0,40,7,0.0,2,0,0,102233.73,0.03992938
1593,591,1,36,7,135216.8,1,1,1,122022.89,0.06405859
7417,730,0,37,5,124053.03,1,1,0,118591.67,0.11503194
5266,811,1,31,7,117799.28,1,1,1,182372.35,0.08826995
7146,749,1,41,5,57568.94,1,1,1,61128.29,0.18948919
88,646,0,46,4,0.0,3,1,0,93251.42,0.952534
8694,671,0,48,9,116711.06,2,0,0,76373.38,0.3932394
9731,607,1,29,7,102609.0,1,1,0,163257.44,0.066344164
9445,689,0,28,5,95328.6,1,1,0,6129.61,0.17973469
6753,661,1,38,7,143006.7,1,1,1,15650.89,0.14178929
3501,646,0,30,10,100548.67,2,0,0,136983.77,0.037757743
2233,565,1,38,0,122447.76,1,0,0,67339.34,0.5503238
2802,774,1,53,4,113709.28,1,1,1,153887.93,0.5022788
4423,785,0,40,3,0.0,2,1,1,96832.82,0.036627464
5662,703,0,40,7,0.0,2,0,1,122518.5,0.05918019
7169,490,1,34,5,122952.9,2,0,0,154360.97,0.10617287
8336,786,0,33,0,122325.58,1,0,0,34712.34,0.22216214
2147,665,1,33,2,101286.11,1,1,1,159840.51,0.10771987
7968,592,1,45,8,84692.5,1,0,1,67214.02,0.1402851
6550,637,0,39,3,109698.41,1,1,1,88391.29,0.08517769
7642,811,1,40,1,101514.89,1,1,1,121765.0,0.21230799
6163,488,0,28,7,139246.22,2,1,0,106799.49,0.06250364
1494,449,1,52,6,0.0,2,0,1,123622.0,0.17699376
7695,723,0,47,10,90450.0,2,0,0,103379.31,0.13716702
7093,606,0,41,4,132670.53,1,1,0,156476.36,0.27748498
1408,707,1,32,9,0.0,2,0,0,30807.02,0.030059807
6690,573,1,30,8,127406.5,1,1,0,192950.6,0.11167424
3400,676,1,31,3,78990.15,1,1,1,124777.14,0.04051538
108,605,1,33,5,150092.8,1,0,0,71862.79,0.17756614
5635,568,0,27,1,116320.68,1,0,1,45563.94,0.076027244
8481,729,0,38,10,0.0,2,1,0,189727.12,0.074514136
6603,554,0,35,10,74988.59,2,0,1,190155.13,0.04280063
1090,539,0,34,4,91622.42,1,1,1,136603.42,0.067797415
5559,850,1,36,5,119984.07,1,1,0,191535.11,0.23848145
9411,689,0,40,4,78119.59,4,1,0,119259.34,0.8924265
8142,615,1,41,4,130385.82,1,0,1,130661.95,0.1507908
8663,539,1,39,1,0.0,1,1,1,28184.7,0.28950468
6595,601,1,24,7,0.0,2,0,0,144660.42,0.029754795
623,678,1,36,3,145747.67,2,0,1,89566.74,0.083164945
6870,850,0,36,0,136980.23,2,1,1,99019.65,0.04761043
4813,517,1,39,3,0.0,2,0,1,12465.51,0.030975692
6552,793,0,34,5,127758.09,1,1,0,143357.03,0.23384441
7529,579,0,33,1,118392.75,1,1,1,157564.75,0.12515195
5795,709,1,39,8,0.0,2,1,0,56214.09,0.030130317
7436,646,0,57,6,90212.0,1,1,0,13911.27,0.9363762
4217,587,1,35,5,121863.61,1,1,1,23481.69,0.14782105
5940,849,0,41,6,0.0,2,1,1,169203.51,0.03836461
8500,660,1,37,2,97324.91,1,1,0,23291.83,0.10343666
6428,627,0,39,5,124586.93,1,1,0,93132.61,0.2735805
6826,547,0,51,1,0.0,2,1,1,56908.41,0.056788467
4130,554,1,39,2,129709.62,1,1,0,173197.12,0.29313922
7801,678,1,54,7,128914.97,1,0,0,191746.23,0.8616643
7753,605,1,28,10,113690.83,1,1,0,33114.24,0.258453
4721,757,0,44,4,123322.15,1,1,0,137136.29,0.37361893
1650,625,1,34,6,0.0,2,0,0,197283.2,0.037082423
4140,841,0,33,7,154969.79,2,1,1,99505.75,0.069773726
1617,557,0,40,4,0.0,2,0,1,105433.53,0.03241366
2029,520,1,33,4,156297.58,2,1,1,166102.61,0.04020961
8517,688,1,20,8,137624.4,2,1,1,197582.79,0.04228721
4575,833,1,29,1,96462.25,2,0,1,48986.18,0.10565987
3992,730,1,38,0,38848.19,2,0,0,94003.11,0.29397595
7376,704,1,23,6,166594.78,1,1,1,155823.2,0.051968478
6149,643,1,34,6,0.0,2,1,1,116046.22,0.029754795
4908,540,1,48,2,109349.29,1,1,0,88703.04,0.9017384
5026,626,1,44,10,0.0,2,0,0,164287.86,0.18400712
8260,640,0,30,5,32197.64,1,0,1,141446.01,0.10782059
4731,705,0,35,3,0.0,2,0,1,66331.01,0.044706516
7548,584,0,62,9,137727.34,2,0,1,121102.9,0.20391499
8134,577,1,41,6,0.0,1,1,1,167621.18,0.20729002
1606,566,0,40,2,97001.36,2,1,0,154486.01,0.18874213
4773,646,0,35,1,121952.75,2,1,1,142839.82,0.055613063
8109,661,0,34,0,0.0,2,1,0,185555.63,0.058592405
6951,658,1,42,8,102870.93,1,0,1,103764.55,0.14009279
6004,521,0,22,10,0.0,1,1,1,101311.95,0.25116077
7728,616,0,31,8,0.0,1,0,1,76456.17,0.18253645
3541,838,0,67,4,103267.8,1,1,1,78310.04,0.07340933
388,709,0,45,2,0.0,2,0,1,162922.65,0.0784842
1794,823,1,38,1,0.0,2,1,0,156603.7,0.029642263
8731,727,0,41,10,0.0,2,0,1,47468.56,0.052116517
4919,682,0,50,10,128039.01,1,1,1,102260.16,0.4184584
5537,527,0,41,10,136733.24,1,1,1,57589.29,0.3479933
3872,605,1,39,6,111169.91,1,0,0,9641.4,0.5329546
8868,649,0,38,8,0.0,1,1,0,103760.53,0.45917484
2254,679,1,36,6,147733.64,1,0,1,172501.38,0.036184177
3412,582,1,26,6,114450.32,1,1,1,14081.64,0.074595906
5459,530,0,36,7,0.0,2,1,0,80619.09,0.030251097
4955,775,1,33,3,83501.66,2,1,0,128841.31,0.06952135
7396,603,0,56,5,90778.76,2,1,0,162223.67,0.91333956
5414,495,0,40,1,140197.71,2,1,0,150720.39,0.18462794
7399,668,0,37,7,128645.67,1,1,0,92149.64,0.18734482
7414,737,0,45,2,99169.67,2,1,1,78650.95,0.12632507
9100,659,1,35,6,0.0,2,1,1,58879.11,0.0338625
4851,530,0,48,0,0.0,1,1,0,85081.09,0.8707378
2025,634,1,45,9,0.0,2,0,0,17622.82,0.06902861
2615,486,1,63,9,97009.15,1,1,1,85101.0,0.13886657
7388,836,0,29,9,133681.78,1,1,1,153747.73,0.26649696
2926,510,1,63,8,0.0,2,1,1,115291.86,0.076520205
1121,809,0,24,4,0.0,2,1,0,193518.76,0.02912727
2910,596,1,33,2,139451.67,1,0,0,63142.12,0.17898983
8146,717,1,48,7,123764.95,1,1,1,169952.82,0.35586783
7383,737,0,39,7,130051.66,2,0,0,55356.39,0.2047465
3482,543,1,37,3,0.0,2,1,1,78915.68,0.03891144
795,761,1,36,8,108239.11,2,0,0,99444.02,0.08185563
1575,545,1,23,2,0.0,2,1,0,189613.12,0.029754795
6176,608,0,38,8,103653.51,2,1,1,137079.86,0.11704114
6266,537,0,33,7,136082.0,1,1,0,62746.54,0.24205719
2458,513,1,88,10,0.0,2,1,1,52952.24,0.050086085
3312,664,0,31,7,104158.84,1,1,0,134169.85,0.1606732
1253,499,0,55,4,126817.65,2,1,0,123269.71,0.92669225
6834,703,1,50,8,160139.59,2,1,1,79314.1,0.12827536
8794,706,0,29,1,209490.21,1,1,1,133267.69,0.22666234
3837,598,0,23,6,0.0,2,1,0,153229.19,0.02912727
4398,743,0,39,8,0.0,1,1,0,94263.44,0.3313145
3595,722,0,32,5,106807.64,1,1,1,76998.69,0.0987052
6621,646,1,50,0,104129.24,2,1,0,181794.86,0.37983644
8382,599,1,25,3,0.0,2,1,1,120790.02,0.029754795
2124,704,1,32,7,127785.17,4,0,0,184464.7,0.86460537
3238,675,1,54,6,0.0,1,1,0,110273.84,0.8966319
5403,590,1,22,7,125265.61,1,1,1,161253.08,0.059670135
5998,644,1,28,0,0.0,2,1,0,119419.37,0.03344551
5938,850,1,38,7,115378.94,1,0,1,162087.82,0.060235694
2045,668,0,31,9,0.0,2,0,0,41291.73,0.038405173
1578,715,1,28,7,160376.61,1,0,0,196853.11,0.0682063
14,635,0,35,7,0.0,2,1,1,65951.65,0.037817564
2673,601,1,50,2,115625.07,1,1,0,185855.21,0.9244126
7016,741,1,50,1,78737.61,1,1,1,13018.96,0.41934788
8720,711,0,28,8,0.0,2,0,0,105159.89,0.042180035
8849,664,0,38,4,74306.19,2,1,0,154395.56,0.07038246
4812,672,1,31,6,91125.75,1,1,0,177295.92,0.17984912
1084,796,1,24,8,0.0,2,1,0,61349.37,0.030059807
4983,543,1,30,4,140916.81,1,1,0,157711.18,0.068091825
7155,515,1,45,7,120961.5,3,1,1,39288.11,0.9667526
2884,620,0,29,3,0.0,2,0,1,153392.28,0.029931832
333,584,0,30,8,112013.81,1,1,0,177772.03,0.2859355
7204,686,1,39,10,136258.06,1,0,0,89199.51,0.19681232
4367,573,1,50,0,159304.07,1,0,1,155915.24,0.45307797
3079,757,0,34,1,129398.01,2,0,0,44965.44,0.15219687
7203,657,1,33,1,84309.57,2,0,0,103914.4,0.053801697
9909,739,1,58,2,101579.28,1,1,1,72168.53,0.45138648
8864,832,0,29,5,0.0,2,1,0,178779.52,0.037139
263,682,0,26,0,110654.02,1,0,1,111879.21,0.057959247
4337,850,1,38,5,0.0,2,1,0,16491.64,0.030975692
8895,699,0,40,8,122038.34,1,1,0,102085.35,0.27240872
8447,765,0,33,5,84557.82,1,1,1,69039.43,0.15117085
5903,570,0,29,4,153040.03,1,1,1,131363.57,0.05852386
1498,595,0,25,7,106570.34,2,0,1,177025.79,0.03414701
4190,850,0,31,3,121237.65,1,1,1,31022.56,0.114557914
7485,561,1,32,5,0.0,2,1,0,84871.99,0.029658247
9643,521,0,41,2,0.0,2,1,1,113089.43,0.030892344
8310,702,1,43,6,116121.67,1,1,0,61602.42,0.36079866
